Team,Date,Year,MATCHUP,Home/Away,W/L,MIN,PTS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
LAL,8/24/20,2020,LAL @ POR,TRUE,W,240,135,49,87,56.3,32,48,66.66666667,17,39,43.6,20,30,66.7,12,29,41,29,7,9,14,28,20
IND,8/24/20,2020,IND @ MIA,TRUE,L,241,87,33,80,41.3,19,43,44.18604651,14,37,37.8,7,11,63.6,5,29,34,20,8,6,15,16,-12
HOU,8/24/20,2020,HOU @ OKC,TRUE,L,241,114,41,91,45.1,18,33,54.54545455,23,58,39.7,9,10,90,8,32,40,25,7,2,14,23,-3
UTA,8/23/20,2020,UTA vs. DEN,FALSE,W,240,129,42,73,57.5,28,44,63.63636364,14,29,48.3,31,36,86.1,6,31,37,14,2,0,10,19,2
TOR,8/23/20,2020,TOR @ BKN,TRUE,W,241,150,56,101,55.4,34,54,62.96296296,22,47,46.8,16,22,72.7,12,45,57,39,9,6,10,26,28
PHI,8/23/20,2020,PHI vs. BOS,FALSE,L,238,106,35,82,42.7,26,48,54.16666667,9,34,26.5,27,34,79.4,8,31,39,12,7,5,8,25,-4
LAC,8/23/20,2020,LAC @ DAL,TRUE,L,265,133,45,97,46.4,31,59,52.54237288,14,38,36.8,29,32,90.6,8,33,41,19,7,5,9,23,-2
DEN,8/23/20,2020,DEN @ UTA,TRUE,L,240,127,49,100,49,32,56,57.14285714,17,44,38.6,12,13,92.3,17,23,40,25,2,4,6,24,-2
DAL,8/23/20,2020,DAL vs. LAC,FALSE,W,265,135,52,104,50,39,68,57.35294118,13,36,36.1,18,24,75,11,43,54,20,7,5,11,24,2
BOS,8/23/20,2020,BOS @ PHI,TRUE,W,240,110,38,82,46.3,26,47,55.31914894,12,35,34.3,22,29,75.9,10,32,42,19,4,5,14,25,4
BKN,8/23/20,2020,BKN vs. TOR,FALSE,L,241,122,39,98,39.8,20,48,41.66666667,19,50,38,25,33,75.8,12,32,44,21,5,6,14,17,-28
POR,8/22/20,2020,POR vs. LAL,FALSE,L,240,108,39,95,41.1,27,60,45,12,35,34.3,18,19,94.7,7,31,38,17,7,4,11,25,-8
ORL,8/22/20,2020,ORL vs. MIL,FALSE,L,242,107,38,84,45.2,19,45,42.22222222,19,39,48.7,12,14,85.7,6,29,35,24,9,1,18,15,-14
OKC,8/22/20,2020,OKC vs. HOU,FALSE,W,264,119,41,92,44.6,27,51,52.94117647,14,41,34.1,23,34,67.6,7,47,54,20,8,6,15,21,12
MIL,8/22/20,2020,MIL @ ORL,TRUE,W,242,121,46,82,56.1,29,45,64.44444444,17,37,45.9,12,17,70.6,3,40,43,27,12,3,18,20,14
MIA,8/22/20,2020,MIA vs. IND,FALSE,W,241,124,34,75,45.3,21,42,50,13,33,39.4,43,52,82.7,7,39,46,23,10,2,16,19,9
LAL,8/22/20,2020,LAL @ POR,TRUE,W,240,116,39,78,50,29,48,60.41666667,10,30,33.3,28,43,65.1,12,43,55,26,6,8,17,21,8
IND,8/22/20,2020,IND @ MIA,TRUE,L,240,115,41,84,48.8,29,51,56.8627451,12,33,36.4,21,28,75,7,30,37,23,10,5,14,31,-9
HOU,8/22/20,2020,HOU @ OKC,TRUE,L,265,107,38,92,41.3,23,42,54.76190476,15,50,30,16,23,69.6,4,42,46,14,9,6,16,27,-12
UTA,8/21/20,2020,UTA vs. DEN,FALSE,W,243,124,43,84,51.2,25,47,53.19148936,18,37,48.6,20,26,76.9,13,37,50,27,9,2,10,20,37
TOR,8/21/20,2020,TOR @ BKN,TRUE,W,239,117,46,91,50.5,28,53,52.83018868,18,38,47.4,7,11,63.6,8,48,56,35,8,4,14,21,25
PHI,8/21/20,2020,PHI vs. BOS,FALSE,L,241,94,28,95,29.5,19,56,33.92857143,9,39,23.1,29,34,85.3,20,37,57,14,6,7,12,19,-8
LAC,8/21/20,2020,LAC @ DAL,TRUE,W,240,130,47,90,52.2,33,56,58.92857143,14,34,41.2,22,27,81.5,8,36,44,24,7,4,7,24,8
DEN,8/21/20,2020,DEN @ UTA,TRUE,L,240,87,33,88,37.5,21,50,42,12,38,31.6,9,11,81.8,16,29,45,20,2,5,17,24,-37
DAL,8/21/20,2020,DAL vs. LAC,FALSE,L,239,122,44,87,50.6,27,44,61.36363636,17,43,39.5,17,24,70.8,7,35,42,27,5,2,9,24,-8
BOS,8/21/20,2020,BOS @ PHI,TRUE,W,240,102,36,87,41.4,28,56,50,8,31,25.8,22,24,91.7,3,42,45,15,7,8,10,23,8
BKN,8/21/20,2020,BKN vs. TOR,FALSE,L,239,92,30,90,33.3,14,39,35.8974359,16,51,31.4,16,22,72.7,9,33,42,24,8,4,13,14,-25
POR,8/20/20,2020,POR @ LAL,TRUE,L,241,88,34,85,40,26,56,46.42857143,8,29,27.6,12,16,75,10,31,41,14,6,3,17,17,-23
ORL,8/20/20,2020,ORL @ MIL,TRUE,L,240,96,31,89,34.8,24,56,42.85714286,7,33,21.2,27,31,87.1,10,32,42,18,9,5,11,18,-15
OKC,8/20/20,2020,OKC @ HOU,TRUE,L,239,98,35,79,44.3,24,47,51.06382979,11,32,34.4,17,19,89.5,8,40,48,15,2,4,13,19,-13
MIL,8/20/20,2020,MIL vs. ORL,FALSE,W,241,111,42,89,47.2,27,48,56.25,15,41,36.6,12,16,75,11,46,57,26,5,4,20,26,15
MIA,8/20/20,2020,MIA @ IND,TRUE,W,239,109,36,76,47.4,18,41,43.90243902,18,35,51.4,19,28,67.9,7,34,41,27,9,4,16,15,9
LAL,8/20/20,2020,LAL vs. POR,FALSE,W,242,111,44,92,47.8,30,54,55.55555556,14,38,36.8,9,10,90,14,36,50,26,9,3,14,22,23
IND,8/20/20,2020,IND vs. MIA,FALSE,L,240,100,36,81,44.4,24,47,51.06382979,12,34,35.3,16,20,80,4,34,38,25,12,7,16,23,-9
HOU,8/20/20,2020,HOU vs. OKC,FALSE,W,240,111,38,91,41.8,19,35,54.28571429,19,56,33.9,16,18,88.9,11,30,41,21,8,3,7,19,13
UTA,8/19/20,2020,UTA @ DEN,TRUE,W,238,124,45,87,51.7,25,43,58.13953488,20,44,45.5,14,17,82.4,11,25,36,32,5,7,6,18,19
TOR,8/19/20,2020,TOR vs. BKN,FALSE,W,238,104,38,87,43.7,29,52,55.76923077,9,35,25.7,19,28,67.9,8,36,44,22,7,6,8,21,5
PHI,8/19/20,2020,PHI @ BOS,TRUE,L,241,101,33,79,41.8,28,58,48.27586207,5,21,23.8,30,37,81.1,6,32,38,21,2,3,9,21,-27
LAC,8/19/20,2020,LAC vs. DAL,FALSE,L,240,114,37,84,44,27,50,54,10,34,29.4,30,39,76.9,9,38,47,16,4,2,15,29,-13
DEN,8/19/20,2020,DEN vs. UTA,FALSE,L,240,105,37,81,45.7,24,54,44.44444444,13,27,48.1,18,23,78.3,13,28,41,22,1,4,10,19,-19
DAL,8/19/20,2020,DAL @ LAC,TRUE,W,240,127,44,88,50,31,59,52.54237288,13,29,44.8,26,37,70.3,8,41,49,25,5,4,9,29,13
BOS,8/19/20,2020,BOS vs. PHI,FALSE,W,241,128,44,86,51.2,25,43,58.13953488,19,43,44.2,21,29,72.4,10,33,43,20,4,5,6,28,27
BKN,8/19/20,2020,BKN @ TOR,TRUE,L,240,99,33,85,38.8,19,44,43.18181818,14,41,34.1,19,27,70.4,7,39,46,25,3,6,17,25,-5
POR,8/18/20,2020,POR @ LAL,TRUE,W,241,100,31,79,39.2,18,45,40,13,34,38.2,25,33,75.8,5,45,50,18,3,8,16,28,7
ORL,8/18/20,2020,ORL @ MIL,TRUE,W,238,122,44,89,49.4,28,48,58.33333333,16,41,39,18,19,94.7,4,44,48,29,6,2,15,26,12
OKC,8/18/20,2020,OKC @ HOU,TRUE,L,240,108,37,84,44,24,49,48.97959184,13,35,37.1,21,25,84,7,39,46,22,2,3,12,20,-15
